CSCSITEID__C,ACCOUNTNAMEENGLISH__C,BRANCH_CUSTOMER_PARTY_KEY,BRANCH_PRIMARY_NAME,HQ_PRIMARY_NAME,GU_PRIMARY_NAME,BRANCH_ISO_COUNTRY_CD,BRANCH_PARTY_SSOT_PARTY_ID_INT,BRANCH_HQ_BRANCH_CD,EXACT_COUNTRY
333781305,,224789298,CLOUDIX GLOBAL PRIVATE LTD,CLOUDIX GLOBAL PRIVATE LTD,CLOUDIX GLOBAL PRIVATE LTD,LKA,333781305,HQ,SRI LANKA
40126863,,4963180,ABANS,ABANS LIMITED,ABANS LIMITED,LKA,40126863,BR,SRI LANKA
326729430,NA JOINT VENTURES PVT LTD,218832802,NA JOINT VENTURES PVT LTD,NA JOINT VENTURES PVT LTD,NA JOINT VENTURES PVT LTD,LKA,326729430,HQ,SRI LANKA
185014112,SUMITHRA GARMENTS PRIVATE LTD,113444285,SUMITHRA GARMENTS PRIVATE LTD,SUMITHRA GARMENTS PRIVATE LTD,SUMITHRA GARMENTS PRIVATE LTD,LKA,185014112,HQ,SRI LANKA
121069034,UNITED NATIONS DEVELOPMENT PROGRAM (UNDP),51930195,UNITED NATIONS DEVELOPMENT PROGRAM UNDP,UNITED NATIONS DEVELOPMENT PROGRAM,UNITED NATIONS,LKA,121069034,HQ,SRI LANKA
32988244,,13105138,DAVID PIERIS INFORMATION TECHNOLOGIES,DAVID PIERIS INFORMATION TECHNOLOGIES,DAVID PIERIS INFORMATION TECHNOLOGIES,LKA,32988244,HQ,SRI LANKA
234564220,COLOMBO INTERNATIONAL CONTAINER TERMINALS LTD,157494161,COLOMBO INTERNATIONAL CONTAINER TERMINALS,COLOMBO INTERNATIONAL CONTAINER TERMINALS LTD,COLOMBO INTERNATIONAL CONTAINER TERMINALS LTD,LKA,234564220,BR,SRI LANKA
87593772,zMessenger (Pvt) Ltd,34023002,ZMESSENGER PVT LTD,ZMESSENGER PVT LTD,ZMESSENGER PVT LTD,LKA,87593772,HQ,SRI LANKA
304279266,,201337270,CREATIVE TECHNOLOGY SOLUTION PVT LTD,CREATIVE TECHNOLOGY SOLUTIONS PTE LTD,CREATIVE TECHNOLOGY SOLUTIONS PTE LTD,LKA,304279266,BR,SRI LANKA
382695790,,259271431,ICT DISTRIBUTION PVT LTD,ICT DISTRIBUTION PVT LTD,ICT DISTRIBUTION PVT LTD,LKA,382695790,HQ,SRI LANKA
167799622,Ministry of Highways and Road Development,102225799,MINISTRY OF HIGHWAYS AND ROAD DEVELOPMENT,MINISTRY OF HIGHWAYS,MINISTRY OF HIGHWAYS,LKA,167799622,BR,SRI LANKA
350752386,H C L TECHNOLOGIES LANKA PRIVATE LTD,235340411,H C L TECHNOLOGIES LANKA PRIVATE LTD,HCL SRI LANKA,HCL TECHNOLOGIES LTD,LKA,350752386,BR,SRI LANKA
357644606,,241082714,LAVTC,CSC DISCARD,CSC DISCARD,LKA,357644606,BR,SRI LANKA
178522343,,108939446,SYNGENT TECHNOLOGIES,SYNGENT TECHNOLOGIES,SYNGENT TECHNOLOGIES,LKA,178522343,HQ,SRI LANKA
